run_id,video_id,frame_idx,track_id,cls_id,conf,x1,y1,x2,y2
119be441f130,cyclar_data_32,31,21,2,0.4236733317375183,1189,483,1292,780
119be441f130,cyclar_data_32,32,21,2,0.43053025007247925,1188,478,1291,782
119be441f130,cyclar_data_32,105,13,2,0.8412594795227051,945,385,1177,535
119be441f130,cyclar_data_32,106,13,2,0.8447305560112,951,386,1190,541
119be441f130,cyclar_data_32,107,13,2,0.8250257968902588,959,386,1206,545
119be441f130,cyclar_data_32,108,13,2,0.8766194581985474,970,384,1224,548
119be441f130,cyclar_data_32,109,13,2,0.8159331679344177,978,384,1241,552
119be441f130,cyclar_data_32,110,13,2,0.8665679097175598,986,381,1257,556
119be441f130,cyclar_data_32,111,13,2,0.8783437609672546,992,377,1272,558
119be441f130,cyclar_data_32,111,37,2,0.44914236664772034,1192,488,1295,782
119be441f130,cyclar_data_32,112,13,2,0.8617908358573914,997,373,1287,560
119be441f130,cyclar_data_32,113,13,2,0.789197564125061,1004,370,1295,565
119be441f130,cyclar_data_32,113,41,2,0.788735568523407,3,528,508,969
119be441f130,cyclar_data_32,114,13,2,0.8236562609672546,1014,365,1296,568
119be441f130,cyclar_data_32,115,13,2,0.8212966918945312,1026,363,1296,574
119be441f130,cyclar_data_32,116,13,2,0.9146804213523865,1043,360,1296,580
119be441f130,cyclar_data_32,116,41,2,0.668144166469574,4,486,572,969
119be441f130,cyclar_data_32,117,13,2,0.8728362917900085,1065,357,1296,578
119be441f130,cyclar_data_32,117,41,2,0.7765254378318787,6,471,600,969
119be441f130,cyclar_data_32,118,13,2,0.8981593251228333,1095,357,1296,559
119be441f130,cyclar_data_32,118,41,2,0.8931838870048523,9,460,631,970
119be441f130,cyclar_data_32,119,13,2,0.8925831317901611,1132,359,1296,553
119be441f130,cyclar_data_32,119,41,2,0.9140750169754028,12,449,669,970
119be441f130,cyclar_data_32,120,13,2,0.7651793360710144,1171,365,1296,559
119be441f130,cyclar_data_32,120,41,2,0.926352858543396,15,437,711,970
119be441f130,cyclar_data_32,121,41,2,0.912943422794342,14,426,751,971
119be441f130,cyclar_data_32,122,41,2,0.8931409120559692,11,419,784,971
119be441f130,cyclar_data_32,123,41,2,0.912082314491272,3,417,811,972
119be441f130,cyclar_data_32,124,41,2,0.8902301788330078,0,417,830,972
119be441f130,cyclar_data_32,125,41,2,0.8917896747589111,0,418,843,972
119be441f130,cyclar_data_32,126,41,2,0.9097613096237183,0,422,854,972
119be441f130,cyclar_data_32,127,41,2,0.9066633582115173,0,427,858,972
119be441f130,cyclar_data_32,128,41,2,0.9048694968223572,0,434,863,972
119be441f130,cyclar_data_32,129,41,2,0.917558491230011,0,440,866,971
119be441f130,cyclar_data_32,130,41,2,0.9385451674461365,0,444,869,970
119be441f130,cyclar_data_32,131,41,2,0.9402374029159546,0,447,870,969
119be441f130,cyclar_data_32,132,41,2,0.939171552658081,0,448,868,969
119be441f130,cyclar_data_32,133,41,2,0.948661744594574,0,448,866,968
119be441f130,cyclar_data_32,134,41,2,0.9513561129570007,0,450,862,969
119be441f130,cyclar_data_32,135,41,2,0.9542005658149719,0,450,858,970
